[2026-03-08 17:26:05.090 15093-15150 m140.box                com.example.campusguide              I  getExecutor  CREATED  boq@6980a3b[Network]
 2026-03-08 17:26:05.103 15093-15150 GMM-Satell...nnectivity com.example.campusguide              W  WIFI  isActiveNetworkSatellite: false
 2026-03-08 17:26:11.248 15093-15093 m140.dfg                com.example.campusguide              W  ScreenPixelGeometryUnpacker int[] getVertices not supported; float-precision would be lost.
 2026-03-08 17:26:11.266 15093-15196 HWUI                    com.example.campusguide              I  Davey! duration=1298ms; Flags=0, FrameTimelineVsyncId=105187, IntendedVsync=19659776194973, Vsync=19660876194929, InputEventId=0, HandleInputStart=19660880708641, AnimationStart=19660880716818, PerformTraversalsStart=19661039566759, DrawStart=19661039768061, FrameDeadline=19661059528255, FrameStartTime=19660878593862, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=19661047008300, SyncStart=19661050751428, IssueDrawCommandsStart=19661052027561, SwapBuffers=19661057125088, FrameCompleted=19661078687154, DequeueBufferDuration=11534, QueueBufferDuration=11493070, GpuCompleted=19661077253692, SwapBuffersCompleted=19661078687154, DisplayPresentTime=0, CommandSubmissionCompleted=19661057125088,
 2026-03-08 17:26:11.268 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:11.293 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:11.303 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:11.586 15093-15275 m140.fhw                com.example.campusguide              W  onContextLost - The atlas still contained allocations, could be a bug.
 2026-03-08 17:26:11.905 15093-15279 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:11.939 15093-15279 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:12.053 15093-15279 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:12.060 15093-15279 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:12.138 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.171 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.183 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.208 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.225 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.245 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.258 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.270 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.280 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.292 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.321 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.339 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.351 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.360 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.376 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.396 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.407 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.419 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.439 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.452 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.469 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.480 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.494 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.506 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.524 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.538 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.556 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.564 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.582 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.598 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.618 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.638 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.673 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.685 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.706 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:12.737 15093-15093 Choreographer           com.example.campusguide              I  Skipped 51 frames!  The application may be doing too much work on its main thread.
 2026-03-08 17:26:12.805 15093-15168 HWUI                    com.example.campusguide              I  Davey! duration=877ms; Flags=0, FrameTimelineVsyncId=105818, IntendedVsync=19661709528229, Vsync=19662559528195, InputEventId=0, HandleInputStart=19662570109300, AnimationStart=19662570110716, PerformTraversalsStart=19662570858554, DrawStart=19662574930755, FrameDeadline=19662592861527, FrameStartTime=19662569334517, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=19662576798568, SyncStart=19662590818074, IssueDrawCommandsStart=19662591280799, SwapBuffers=19662594064183, FrameCompleted=19662600715046, DequeueBufferDuration=542113, QueueBufferDuration=4039495, GpuCompleted=19662599367610, SwapBuffersCompleted=19662600715046, DisplayPresentTime=0, CommandSubmissionCompleted=19662594064183,
 2026-03-08 17:26:12.838 15093-15093 USABILITY               com.example.campusguide              D  Map Controls Hidden Toggle,2.906
 2026-03-08 17:26:13.087 15093-15275 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:13.098 15093-15275 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:13.225 15093-15099 ple.campusguide         com.example.campusguide              I  Background concurrent mark compact GC freed 13MB AllocSpace bytes, 111(12MB) LOS objects, 44% free, 30MB/54MB, paused 1.468ms,18.070ms total 1.047s
 2026-03-08 17:26:13.229 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.233 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.259 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.262 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.282 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.282 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.323 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.340 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.341 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.371 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.393 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.415 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.416 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.418 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.438 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.481 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.483 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.494 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.494 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.498 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.500 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.501 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.502 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.503 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.506 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.686 15093-15093 Choreographer           com.example.campusguide              I  Skipped 56 frames!  The application may be doing too much work on its main thread.
 2026-03-08 17:26:13.769 15093-15168 HWUI                    com.example.campusguide              I  Davey! duration=1017ms; Flags=0, FrameTimelineVsyncId=106096, IntendedVsync=19662576194861, Vsync=19663509528157, InputEventId=1015822824, HandleInputStart=19663523264053, AnimationStart=19663523265773, PerformTraversalsStart=19663566783437, DrawStart=19663566893911, FrameDeadline=19662626194859, FrameStartTime=19663519024798, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=19663580646857, SyncStart=19663581217048, IssueDrawCommandsStart=19663581370122, SwapBuffers=19663582354475, FrameCompleted=19663593928006, DequeueBufferDuration=13616, QueueBufferDuration=941224, GpuCompleted=19663593928006, SwapBuffersCompleted=19663584905450, DisplayPresentTime=0, CommandSubmissionCompleted=19663582354475,
 2026-03-08 17:26:13.802 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.816 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.818 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.821 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.825 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.829 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.840 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.844 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.849 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:13.855 15093-15275 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:14.284 15093-15276 m140.caw                com.example.campusguide              I  Initial labeling completed.
 2026-03-08 17:26:14.650 15093-15099 ple.campusguide         com.example.campusguide              I  Background concurrent mark compact GC freed 16MB AllocSpace bytes, 178(10MB) LOS objects, 43% free, 30MB/54MB, paused 578us,2.766ms total 184.067ms
 2026-03-08 17:26:16.285 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:17.796 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:19.677 15093-15093 USABILITY               com.example.campusguide              D  Search Bar Query submit,6.839
 2026-03-08 17:26:25.705 15093-15093 USABILITY               com.example.campusguide              D  POI navigation button clicked,6.028
 2026-03-08 17:26:25.802 15093-15275 m140.few                com.example.campusguide              W  Destroying egl surface
 2026-03-08 17:26:26.939 15093-15093 USABILITY               com.example.campusguide              D  MAP navigation button clicked,1.234
 2026-03-08 17:26:27.452 15093-15093 MapsInitializer         com.example.campusguide              D  preferredRenderer: null
 2026-03-08 17:26:27.454 15093-15093 zzcc                    com.example.campusguide              D  preferredRenderer: null
 2026-03-08 17:26:27.456 15093-15093 Google Android Maps SDK com.example.campusguide              I  Google Play services package version: 260864038
 2026-03-08 17:26:27.456 15093-15093 Google Android Maps SDK com.example.campusguide              I  Google Play services maps renderer version(maps_core): 254515602
 2026-03-08 17:26:27.576 15093-15093 m140.cek                com.example.campusguide              I  FpsProfiler MAIN created on main
 2026-03-08 17:26:27.716 15093-15093 m140.dvj                com.example.campusguide              I  Map using legacy labeler
 2026-03-08 17:26:27.755 15093-15093 m140.duc                com.example.campusguide              I  Network fetching: false
 2026-03-08 17:26:27.756 15093-15093 m140.duc                com.example.campusguide              I  requestDrawingConfig for epoch 769 legend ROADMAP
 2026-03-08 17:26:27.802 15093-15093 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:26:27.823 15093-15147 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:26:27.849 15093-15147 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:26:27.895 15093-15093 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:27.903 15093-15093 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:28.352 15093-15147 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:28.717 15093-15093 Choreographer           com.example.campusguide              I  Skipped 105 frames!  The application may be doing too much work on its main thread.
 2026-03-08 17:26:29.072 15093-15105 HWUI                    com.example.campusguide              I  Davey! duration=2059ms; Flags=0, FrameTimelineVsyncId=108918, IntendedVsync=19676792860959, Vsync=19678542860889, InputEventId=0, HandleInputStart=19678552511248, AnimationStart=19678552513005, PerformTraversalsStart=19678807459187, DrawStart=19678807530858, FrameDeadline=19678826194211, FrameStartTime=19678549849898, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=19678809774218, SyncStart=19678820060301, IssueDrawCommandsStart=19678822535523, SwapBuffers=19678854554275, FrameCompleted=19678862947959, DequeueBufferDuration=21477, QueueBufferDuration=1849933, GpuCompleted=19678861997658, SwapBuffersCompleted=19678862947959, DisplayPresentTime=0, CommandSubmissionCompleted=19678854554275,
 2026-03-08 17:26:29.095 15093-15093 m140.dpe                com.example.campusguide              W  ClientArea created with texture coordinates, but has a non-textured style.
 2026-03-08 17:26:29.096 15093-15093 m140.dfg                com.example.campusguide              W  ScreenPixelGeometryUnpacker int[] getVertices not supported; float-precision would be lost.
 2026-03-08 17:26:29.124 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.156 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.170 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.615 15093-15327 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:29.647 15093-15327 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:29.738 15093-15327 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:29.747 15093-15327 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:29.811 15093-15327 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:29.815 15093-15327 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:29.871 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.884 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.890 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.899 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.927 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.939 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.946 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.953 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.960 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.966 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.973 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.981 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.986 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:29.996 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.003 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.011 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.017 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.027 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.038 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.048 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.058 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.065 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.074 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.083 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.089 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.099 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.111 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.117 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.129 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.139 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.175 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.184 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.191 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.201 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.211 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.221 15093-15093 Choreographer           com.example.campusguide              I  Skipped 32 frames!  The application may be doing too much work on its main thread.
 2026-03-08 17:26:30.324 15093-15323 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.339 15093-15323 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:30.370 15093-15099 ple.campusguide         com.example.campusguide              I  Background concurrent mark compact GC freed 16MB AllocSpace bytes, 154(17MB) LOS objects, 42% free, 32MB/56MB, paused 3.409ms,14.310ms total 1.465s
 2026-03-08 17:26:30.413 15093-15093 USABILITY               com.example.campusguide              D  Map Controls Hidden Toggle,3.474
